duplicate_group,kept_original_path,kept_original_name,kept_new_name,removed_count
DUP-041,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/BDL9-V字卷-70X12-新款-黑白标签.pdf,BDL9-V字卷-70X12-新款-黑白标签.pdf,BDL9-70X12-标签-20250619-V1.pdf,2
DUP-042,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/BRV9-V字卷-70x12mm.pdf,BRV9-V字卷-70x12mm.pdf,BRV9-70X12_70X12M-彩盒-20230616-V1.pdf,1
DUP-043,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/BSR25-115x25-彩盒-宽度120mm正好.pdf,BSR25-115x25-彩盒-宽度120mm正好.pdf,BSR25-115X25_120-彩盒-20250620-V1.pdf,1
DUP-044,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/BSR25-115x25m-140mm偏大-黑白标签.pdf,BSR25-115x25m-140mm偏大-黑白标签.pdf,BSR25-115X25_115X25M-标签-20240516-V1.pdf,1
DUP-045,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/V字卷-135x75x135mm-FP设计-无齿刀线开口-紧凑版.pdf,V字卷-135x75x135mm-FP设计-无齿刀线开口-紧凑版.pdf,V字卷-135X75_135-彩盒-20260204-V1.pdf,1
DUP-046,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/V字卷-145x80x145-带卷轴-FP设计.pdf,V字卷-145x80x145-带卷轴-FP设计.pdf,V字卷-145X80-彩盒-20260202-V1.pdf,1
DUP-047,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/V字卷刀模图 0415.pdf,V字卷刀模图 0415.pdf,V字卷-待补充-刀模图-20250714-V1.pdf,1
DUP-048,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/手撕砂布卷彩盒-HANDY-ROLL-1X15-260330.pdf,手撕砂布卷彩盒-HANDY-ROLL-1X15-260330.pdf,手撕砂布卷-待补充-彩盒-20260330-V1.pdf,2
DUP-049,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-6涂附-缓冲垫 手擦板等/FBP1-150-1PCS-20250715.pdf,FBP1-150-1PCS-20250715.pdf,FBP1-1PCS-彩盒-20250715-V1.pdf,1
DUP-050,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-7涂附-标签/BD8-32-500-规格标签 250714.pdf,BD8-32-500-规格标签 250714.pdf,BD8-待补充-规格标签-20250714-V1.pdf,1
DUP-051,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-8涂附-长条/70x198-70x400-V字孔STRIP-BOX-250805.pdf,70x198-70x400-V字孔STRIP-BOX-250805.pdf,待补充-70X198-70X400_70X198-彩盒-20250805-V1.pdf,1
DUP-052,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-8涂附-长条/BCG8-80X230-10PCS.pdf,BCG8-80X230-10PCS.pdf,BCG8-80X230-彩盒-20250711-V1.pdf,1
DUP-053,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-8涂附-长条/BT77-STRIP-BOX-50PCS.pdf,BT77-STRIP-BOX-50PCS.pdf,BT77-50PCS-彩盒-20250520-V1.pdf,1
DUP-054,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-8涂附-长条/BT77长条-70x420和70x200 STRIP通用彩盒设计稿.pdf,BT77长条-70x420和70x200 STRIP通用彩盒设计稿.pdf,BT77-70X420_70X200-彩盒-20250310-V1.pdf,1
